,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
1.,MAGNA INTERNATIONAL INC,"337, MAGNA DRIVE",AURORA,Canada,2932,n.a.,"34,575","31,264","30,180","25,259","23,514","22,237","17,564","12,055","17,032",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2.,OMV REFINING & MARKETING GMBH,TRABRENNSTRASSE 6-8,WIEN,Austria,4730,n.a.,"4,855","5,578","7,323","8,189",n.a.,"8,169","6,176",n.a.,n.a.,n.a.,"1,100","1,107","1,091","1,088",n.a.,n.a.,n.a.,n.a.,n.a.
3.,SAPPI AUSTRIA PRODUKTIONS- GMBH & CO. KG,BRUCKER STRASSE 21,GRATKORN,Austria,1729,n.a.,n.a.,"4,208","4,011",n.a.,"4,286",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4.,BMW MOTOREN GMBH,HINTERBERGERSTRASSE 2,STEYR,Austria,2910,n.a.,"4,022","3,868","3,710","3,397","3,431","3,606","3,089",n.a.,n.a.,n.a.,"3,059","3,095","2,910","2,725","2,700","2,484",n.a.,n.a.,n.a.
5.,VOESTALPINE STAHL GMBH,VOESTALPINE-STR. 3,LINZ,Austria,2410,n.a.,"3,407","3,260","3,507","3,570","3,533","3,646","3,554","2,472",n.a.,n.a.,"7,100","7,082","7,010","6,879","6,879","6,793","7,059",n.a.,n.a.
6.,EVN AG,EVN PLATZ,MARIA ENZERSDORF,Austria,3511,"2,302","2,125","2,225","2,047","2,173","2,911","2,794","2,806","2,785","2,445","6,840","6,830","6,973","7,314","7,445","7,594","8,250","8,536","8,937","9,342"
7.,MAGNA STEYR FAHRZEUGTECHNIK AG & CO KG,LIEBENAUER HAUPTSTRASSE 317,GRAZ,Austria,2910,n.a.,"2,536",n.a.,"2,853","2,954","2,766",n.a.,"2,212",n.a.,n.a.,n.a.,"3,740",n.a.,"3,600","3,600","5,008","5,008",n.a.,n.a.,n.a.
8.,MAYR-MELNHOF KARTON AG,BRAHMSPLATZ 6,VIENNA,Austria,1712,n.a.,"2,284","2,193","2,101","2,017","1,961","1,968","1,790","1,618","1,742",n.a.,"9,927","9,938","9,399","9,477","8,836","8,882","8,679","8,112","8,240"
9.,AUSTRIAN AIRLINES AG,OFFICE PARK 2,WIEN-FLUGHAFEN,Austria,5110,n.a.,n.a.,"2,179","2,305","2,363","2,421","2,059","2,062",n.a.,n.a.,n.a.,n.a.,n.a.,"2,496","2,400","4,800","4,669","4,898",n.a.,n.a.
10.,LENZING AG,WERKSTRASSE 2,LENZING,Austria,2060,n.a.,"2,180","2,026","1,911","1,979","2,135","2,191","1,806","1,273","1,353",n.a.,"6,218","6,127","6,356","6,675","7,033","6,444","6,143","6,021","5,945"
11.,SANDOZ GMBH,BIOCHEMIESTRASSE 10,KUNDL,Austria,2120,n.a.,"1,677","1,812","1,622","1,523","1,509","1,498","1,416",n.a.,n.a.,n.a.,"4,118","3,780","3,780","3,350","3,218","3,017",n.a.,n.a.,n.a.
12.,WIEN ENERGIE GMBH,THOMAS-KLESTIL-PLATZ 14,WIEN,Austria,3511,n.a.,"1,127","1,176","1,019",999,219,221,34,n.a.,n.a.,n.a.,"2,500","2,500","2,542","2,500","1,350",4,n.a.,n.a.,n.a.
13.,"SALZBURG AG FUER ENERGIE, VERKEHR UND TELEKOMMUNI- KATION",BAYERHAMERSTRASSE 16,SALZBURG,Austria,3510,n.a.,"1,101","1,271","1,329",n.a.,n.a.,"1,521","1,488",n.a.,n.a.,n.a.,"2,022","2,000","2,030",n.a.,n.a.,"1,928",n.a.,n.a.,n.a.
14.,TIROL KLINIKEN GMBH,ANICHSTRASSE 35,INNSBRUCK,Austria,8610,n.a.,779,738,710,688,659,661,n.a.,373,n.a.,n.a.,8,8,8,9,9,9,n.a.,n.a.,n.a.
15.,AGRANA STAERKE GMBH,FRIEDRICH-WILHELM-RAIFFEISEN-P 1,WIEN,Austria,1062,n.a.,740,725,701,532,476,446,n.a.,n.a.,n.a.,n.a.,765,758,739,593,582,554,520,n.a.,n.a.
16.,BRAU UNION OESTERREICH AKTIENGESELLSCHAFT,POSCHACHERSTR. 35,LINZ,Austria,1105,n.a.,729,714,684,676,662,640,597,603,611,n.a.,"2,200","1,970","1,970","2,000","1,974","2,089",n.a.,n.a.,n.a.
17.,GLOCK GESELLSCHAFT M.B.H.,GASTON-GLOCK-PARK 1,FERLACH,Austria,2540,n.a.,713,499,385,n.a.,n.a.,215,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18.,VOESTALPINE STAHL DONAWITZ GMBH,KERPELYSTR. 199,LEOBEN-DONAWITZ,Austria,6832,n.a.,695,706,759,843,807,n.a.,n.a.,n.a.,n.a.,n.a.,"1,369","1,368","1,368","1,358","1,300","1,294",1,n.a.,n.a.
19.,VOESTALPINE BOEHLER EDELSTAHL GMBH & CO KG,MARIAZELLERSTRASSE 25,KAPFENBERG,Austria,2420,n.a.,n.a.,635,n.a.,n.a.,n.a.,n.a.,109,n.a.,727,n.a.,n.a.,"2,164","2,145","2,145","2,079","2,079","1,964",n.a.,n.a.
20.,BAXTER AKTIENGESELLSCHAFT,INDUSTRIESTRASSE 67,WIEN,Austria,8299,n.a.,672,513,537,514,469,540,420,n.a.,n.a.,n.a.,"3,360",n.a.,"3,440","3,043","2,795","2,600",n.a.,n.a.,n.a.
21.,FRITZ EGGER GMBH & CO. OG,WEIBERNDORF 20,ST. JOHANN IN TIROL,Austria,1621,608,588,555,540,515,523,473,n.a.,n.a.,n.a.,"1,440","1,440","1,385","1,128","1,310","1,284","1,291",n.a.,n.a.,n.a.
22.,MONTANWERKE BRIXLEGG AKTIENGESELLSCHAFT,WERKSTRASSE 1,BRIXLEGG,Austria,2444,n.a.,630,608,570,541,852,834,899,n.a.,n.a.,n.a.,303,303,305,300,300,283,n.a.,n.a.,n.a.
23.,AMAG ROLLING GMBH,LAMPRECHTSHAUSENER STRASSE 61,BRAUNAU AM INN - RANSHOFE,Austria,2442,n.a.,629,608,532,513,510,505,447,n.a.,n.a.,n.a.,"1,021","1,021",922,874,853,817,n.a.,n.a.,n.a.
24.,AMAG CASTING GMBH,LAMPRECHTSHAUSENER STRASSE 61,BRAUNAU AM INN -RANSHOFEN,Austria,2442,n.a.,595,616,489,500,480,467,415,n.a.,n.a.,n.a.,403,312,345,335,331,325,n.a.,n.a.,n.a.
25.,UMDASCH AKTIENGESELLSCHAFT,REICHSSTR. 0 23,AMSTETTEN,Austria,4647,n.a.,n.a.,n.a.,n.a.,n.a.,402,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26.,PORSCHE KONSTRUKTIONEN GMBH & CO KG,LOUISE-PIECH-STRASSE 2,SALZBURG,Austria,4531,n.a.,491,483,460,438,399,388,281,n.a.,n.a.,n.a.,480,469,506,390,397,379,n.a.,n.a.,n.a.
27.,VOESTALPINE SCHIENEN GMBH,KERPELYSTRASSE 199,LEOBEN,Austria,2511,n.a.,454,517,501,504,558,544,539,428,n.a.,n.a.,755,642,617,633,601,547,547,n.a.,n.a.
28.,OMV AUSTRIA EXPLORATION & PRODUCTION GMBH,PROTTESER STRASSE 40,GAENSERNDORF,Austria,0910,n.a.,429,575,789,924,985,981,738,n.a.,n.a.,n.a.,680,700,700,700,710,n.a.,n.a.,n.a.,n.a.
29.,NIKI LUFTFAHRT GMBH,"OFFICE PARK I, TOP B 3",WIEN-FLUGHAFEN,Austria,5110,n.a.,422,501,479,487,504,453,344,n.a.,n.a.,n.a.,820,90,n.a.,86,82,81,n.a.,n.a.,n.a.
30.,AGRANA ZUCKER GMBH,FRIEDRICH-WILHELM-RAIFFEISEN-PLATZ 1,WIEN,Austria,1081,n.a.,419,406,424,649,735,603,404,n.a.,n.a.,n.a.,553,554,619,598,569,556,556,n.a.,n.a.
31.,JUNGBUNZLAUER AUSTRIA AG,OPERNRING 1,WIEN,Austria,2013,n.a.,n.a.,n.a.,352,362,365,336,303,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32.,CONSTANTIA TEICH GMBH,MUEHLHOFEN 4,WEINBURG,Austria,2592,n.a.,385,396,383,n.a.,359,352,317,n.a.,n.a.,n.a.,918,900,900,n.a.,785,n.a.,n.a.,n.a.,n.a.
33.,FUNDERMAX GMBH,KLAGENFURTER STRASSE 87-89,ST. VEIT AN DER GLAN,Austria,1621,n.a.,367,365,348,340,328,330,290,n.a.,n.a.,n.a.,925,954,941,949,943,912,n.a.,n.a.,n.a.
34.,BOREALIS AGROLINZ MELAMINE GMBH,ST. PETER-STR. 25,LINZ,Austria,2014,n.a.,365,399,416,425,485,504,399,320,146,n.a.,700,700,737,720,768,778,n.a.,n.a.,n.a.
35.,VEITSCH-RADEX GMBH & CO OG,WIENERBERGSTRASSE 9,WIEN,Austria,2320,n.a.,328,358,402,366,366,373,357,n.a.,n.a.,n.a.,"1,133","1,138","1,160","1,149","1,149","1,106",n.a.,n.a.,n.a.
36.,VOESTALPINE WIRE ROD AUSTRIA GMBH,DRAHTSTRASSE 1,ST. PETER-FREIENSTEIN,Austria,2434,n.a.,322,316,340,399,373,428,404,275,n.a.,n.a.,402,380,320,300,627,626,626,n.a.,n.a.
37.,VOESTALPINE TUBULARS GMBH & CO KG,ALPINESTRASSE 17,KINDBERG-AUMUEHL,Austria,2410,n.a.,315,356,562,573,601,597,509,283,576,n.a.,"1,121","1,129","1,217","1,191","1,122","1,094",984,n.a.,n.a.
38.,VERBUND THERMAL POWER GMBH & CO KG IN LIQU.,WEISSENEGGWEG 1,NEUDORF OB WILDON,Austria,3511,n.a.,319,176,120,305,270,258,n.a.,198,263,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39.,TRANS AUSTRIA GASLEITUNG GMBH,WIEDNER HAUPTSTRASSE 120,WIEN,Austria,3522,n.a.,318,310,n.a.,323,286,287,272,n.a.,n.a.,n.a.,55,n.a.,n.a.,18,n.a.,n.a.,n.a.,n.a.,n.a.
40.,ESSITY AUSTRIA GMBH,STORCHENGASSE 1,WIEN,Austria,4649,n.a.,300,295,287,279,269,278,259,n.a.,n.a.,n.a.,630,630,628,628,622,640,n.a.,n.a.,n.a.
41.,GANAHL AKTIENGESELLSCHAFT,ROTFARBWEG 5,FRASTANZ,Austria,1712,n.a.,300,293,273,265,254,246,219,185,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
42.,MONDI NEUSIEDLER GMBH,THERESIENTHALSTRASSE 50,ULMERFELD-HAUSMENING,Austria,1723,n.a.,294,292,287,306,344,336,349,n.a.,n.a.,n.a.,648,648,760,781,781,772,n.a.,n.a.,n.a.
43.,ZELLSTOFF POELS AKTIENGESELLSCHAFT,DR. LUIGI ANGELI-STRASSE 9,POELS,Austria,4676,n.a.,286,290,266,233,239,245,252,172,200,n.a.,380,416,373,383,359,359,n.a.,n.a.,n.a.
44.,LAAKIRCHEN PAPIER AG,SCHILLERSTRASSE 5,LAAKIRCHEN,Austria,1712,n.a.,284,276,318,339,346,316,319,363,n.a.,n.a.,515,526,550,550,550,550,n.a.,n.a.,n.a.
45.,"LINZ STROM GMBH FUER ENERGIEERZEUGUNG, -HANDEL, -DIENSTLEISTUNGEN UND TELEKOMMUNIKATION",WIENER STR. 151,LINZ,Austria,3511,n.a.,264,375,n.a.,n.a.,475,380,372,n.a.,n.a.,n.a.,230,530,n.a.,n.a.,525,527,n.a.,n.a.,n.a.
46.,SEMPERIT TECHNISCHE PRODUKTE GESELLSCHAFT M.B.H.,MODECENTERSTR. 22,WIEN,Austria,2229,n.a.,274,350,391,397,358,387,346,n.a.,n.a.,n.a.,720,717,660,n.a.,640,680,n.a.,n.a.,n.a.
47.,VOESTALPINE BOEHLER AEROSPACE GMBH & CO KG,MARIAZELLER STRASSE 25,KAPFENBERG,Austria,4672,n.a.,n.a.,249,224,n.a.,n.a.,166,142,n.a.,n.a.,n.a.,n.a.,703,600,n.a.,n.a.,530,500,n.a.,n.a.
48.,WIENERBERGER GMBH,OLDENBURGER ALLEE 26,HANNOVER,Germany,2332,n.a.,264,255,273,296,287,294,257,153,179,n.a.,"1,373","1,412","1,438","1,489","1,539","1,513","1,501",885,982
49.,BOREALIS POLYOLEFINE GMBH,DANUBIASTRASSE 21-25,SCHWECHAT-MANNSWOERTH,Austria,2016,n.a.,249,238,241,238,255,230,263,n.a.,n.a.,n.a.,890,890,900,940,892,867,n.a.,n.a.,n.a.
50.,GAS CONNECT AUSTRIA GMBH,FLORIDSDORFER HAUPTSTRASSE 1,WIEN,Austria,3522,n.a.,242,248,251,331,402,392,272,n.a.,n.a.,n.a.,350,350,352,352,343,343,n.a.,n.a.,n.a.
51.,PATHEON AUSTRIA GMBH & COKG,ST. PETER STRASSE 25,LINZ,Austria,2013,n.a.,225,339,329,414,373,364,324,n.a.,n.a.,n.a.,612,571,960,954,954,947,n.a.,n.a.,n.a.
52.,MONDI FRANTSCHACH GMBH,FRANTSCHACH 5,ST. GERTRAUD,Austria,1712,n.a.,232,232,246,252,241,252,n.a.,n.a.,n.a.,n.a.,450,465,n.a.,n.a.,468,462,n.a.,n.a.,n.a.
53.,NETTINGSDORFER PAPIERFABRIK AG & CO KG,NETTINGSDORFER STR. 40,HAID BEI ANSFELDEN,Austria,4676,n.a.,232,252,n.a.,251,223,n.a.,n.a.,n.a.,n.a.,n.a.,370,358,n.a.,347,349,n.a.,n.a.,n.a.,n.a.
54.,PAPIERFABRIK WATTENS GMBH & CO KG,LUDWIG-LASSL-STRASSE 15,WATTENS,Austria,1729,n.a.,223,248,216,223,237,196,154,n.a.,n.a.,n.a.,443,443,443,440,440,440,n.a.,n.a.,n.a.
55.,SEMPERIT REIFEN GESELLSCHAFT M.B.H.,TRIESTER STRASSE 14,WIENER NEUDORF,Austria,4531,n.a.,208,198,215,233,270,270,267,n.a.,n.a.,n.a.,98,94,100,102,106,n.a.,n.a.,n.a.,n.a.
56.,GETZNER TEXTIL AKTIENGESELLSCHAFT,BLEICHESTRASSE 1,BLUDENZ,Austria,1320,n.a.,206,176,164,132,121,121,106,n.a.,n.a.,n.a.,736,736,694,694,694,666,n.a.,n.a.,n.a.
57.,NORSKE SKOG BRUCK GMBH,FABRIKSGASSE 10,BRUCK,Austria,1712,n.a.,196,210,218,200,219,230,206,207,243,n.a.,451,477,483,500,500,515,n.a.,n.a.,n.a.
58.,STADTWERKE KLAGENFURT AKTIENGESELLSCHAFT,ST. VEITER STRASSE 31,KLAGENFURT,Austria,4939,n.a.,190,n.a.,168,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
59.,ESIM CHEMICALS GMBH,ST. PETER STRASSE 25,LINZ,Austria,2013,n.a.,186,66,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,400,400,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
60.,BUNGE AUSTRIA GMBH,INDUSTRIEGELAENDE WEST 3,BRUCK AN DER LEITHA,Austria,1041,n.a.,n.a.,173,167,196,200,194,148,n.a.,n.a.,n.a.,n.a.,75,70,69,70,n.a.,n.a.,n.a.,n.a.
61.,TUPACK VERPACKUNGEN GESELLSCHAFT M.B.H.,WARNECKESTR. 5,WIEN,Austria,2222,n.a.,n.a.,165,151,155,143,132,147,128,153,n.a.,n.a.,930,915,944,973,916,965,949,"1,096"
62.,VETROPACK AUSTRIA GMBH,MANKER STRASSE 49,POECHLARN,Austria,2313,n.a.,177,190,177,177,174,164,157,n.a.,n.a.,n.a.,630,630,630,630,613,609,n.a.,n.a.,n.a.
63.,UPM-KYMMENE AUSTRIA GMBH,FABRIKSPLATZ 1,LAAKIRCHEN,Austria,1712,n.a.,173,183,197,202,239,290,249,n.a.,n.a.,n.a.,450,450,450,450,465,484,n.a.,n.a.,n.a.
64.,STAHL- UND WALZWERK MARIENHUETTE GESELLSCHAFT M.B.H.,SUEDBAHNSTR. 11,GRAZ,Austria,2511,n.a.,n.a.,159,179,183,197,203,178,132,n.a.,n.a.,n.a.,260,251,251,240,240,230,n.a.,n.a.
65.,W. HAMBURGER GMBH,ASPANGER STRASSE 252,PITTEN,Austria,1721,n.a.,171,175,196,231,246,289,n.a.,n.a.,n.a.,n.a.,272,250,250,250,n.a.,352,n.a.,n.a.,n.a.
66.,ENERGIE AG OBEROESTERREICH KRAFTWERKE GMBH,BOEHMERWALDSTR. 3,LINZ POSTFACH,Austria,3511,n.a.,156,180,155,150,230,245,245,n.a.,n.a.,n.a.,220,320,343,343,350,360,n.a.,n.a.,n.a.
67.,BAUMIT GMBH,WOPFING 156,WALDEGG,Austria,2351,n.a.,153,154,158,154,161,164,147,n.a.,n.a.,n.a.,290,290,290,300,305,299,n.a.,n.a.,n.a.
68.,EVN WAERME GMBH,EVN PLATZ 0,MARIA ENZERSDORF,Austria,3511,n.a.,143,149,148,157,138,128,127,n.a.,n.a.,n.a.,110,110,110,110,95,89,n.a.,n.a.,n.a.
69.,ENERGIE KLAGENFURT GMBH,ST. VEITER STRASSE 31,KLAGENFURT,Austria,3511,n.a.,151,140,123,130,128,28,122,n.a.,n.a.,n.a.,349,349,347,354,385,390,n.a.,n.a.,n.a.
70.,AUSTROCEL HALLEIN GMBH,SALZACHTALSTRASSE 88,HALLEIN,Austria,1712,n.a.,149,165,129,110,85,86,88,n.a.,n.a.,n.a.,237,235,232,230,210,201,n.a.,n.a.,n.a.
71.,KELAG WAERME GMBH,ST.MAGDALENER STRASSE 81,VILLACH,Austria,3530,n.a.,148,149,143,156,159,142,142,n.a.,n.a.,n.a.,200,194,202,187,187,198,n.a.,n.a.,n.a.
72.,METADYNEA AUSTRIA GMBH,HAFENSTRASSE 77,KREMS AN DER DONAU,Austria,2014,n.a.,148,173,160,156,157,164,119,n.a.,n.a.,n.a.,175,140,119,119,137,169,n.a.,n.a.,n.a.
73.,BOEHLER BLECHE GMBH & CO KG,BOEHLER-GASSE 1,MUERZZUSCHLAG,Austria,4672,n.a.,n.a.,134,134,n.a.,157,162,128,n.a.,n.a.,n.a.,n.a.,470,455,n.a.,479,474,454,n.a.,n.a.
74.,DR. FRANZ FEURSTEIN GESELLSCHAFT M.B.H.,FABRIKSTR. 20,TRAUN,Austria,1712,n.a.,143,135,121,118,122,119,118,n.a.,n.a.,n.a.,270,266,260,260,260,260,n.a.,n.a.,n.a.
75.,LENZING FIBERS GMBH,INDUSTRIEGELAENDE 1,HEILIGENKREUZ IM LAFNITZTAL,Austria,2060,n.a.,138,121,119,125,149,143,88,n.a.,n.a.,n.a.,220,220,211,n.a.,211,190,n.a.,n.a.,n.a.
76.,STOELZLE - OBERGLAS GMBH,FABRIKSSTR. 11,KOEFLACH,Austria,2313,n.a.,130,129,n.a.,118,n.a.,108,95,n.a.,n.a.,n.a.,397,397,n.a.,400,n.a.,400,n.a.,n.a.,n.a.
77.,BERNEGGER GMBH,GRADAU 15,MOLLN,Austria,2363,n.a.,123,112,116,99,108,104,99,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
